Node,Longitude,Latitude
386,104.0060803,30.72767637
387,104.0738458,30.71401447
388,104.1769595,30.69629187
389,103.9733365,30.67656097
390,104.0560656,30.65699134
391,104.118797,30.66166685
392,104.1417226,30.6285471
393,103.9642428,30.61742585
394,104.0484533,30.61816335
395,104.1173197,30.61854787
396,103.9833818,30.68521098
397,104.0498319,30.68693798
398,104.0835475,30.68354394
399,104.1722518,30.72037834
400,103.9932544,30.63065031
401,104.0567203,30.64769724
402,104.1012867,30.62466428
403,104.145429,30.65737253
404,103.9983609,30.6065462
405,104.0617289,30.58131137
406,104.1027248,30.6056882
407,103.9804376,30.7055703
408,104.0298713,30.69080358
409,104.1122596,30.71737887
410,104.1692364,30.7015895
411,103.9926702,30.62703779
412,104.0351193,30.64569618
413,104.1214114,30.65498432
414,104.1386582,30.63500595
415,103.9694659,30.60783411
416,104.051983,30.60576544
417,104.0785558,30.60016577
418,103.9887776,30.71046208
419,104.0364018,30.69170185
420,104.0723412,30.71409949
421,104.1645632,30.69122648
422,103.9401081,30.63831074
423,104.0598002,30.62746869
424,104.0691154,30.63175477
425,104.1375902,30.67794134
426,104.0480615,30.59370278
427,104.1365144,30.61517896
428,103.9634227,30.67938619
429,104.0233096,30.69872934
430,104.0830485,30.69118929
431,104.1609358,30.72308424
432,103.9759777,30.64764778
433,104.0325787,30.63747441
434,104.1063806,30.66837289
435,104.1488547,30.63519483
436,104.0649681,30.60794349
437,104.0682341,30.61107062
438,103.9540216,30.72742297
439,104.034183,30.70224286
440,104.0738929,30.67999518
441,103.9970406,30.66825083
442,104.0192041,30.66475911
443,104.0794847,30.67048239
444,104.1365745,30.63082945
445,104.0320147,30.60709687
446,104.0716305,30.6042902
447,103.9709046,30.73015438
448,104.0295217,30.68599766
449,104.09088,30.67998414
450,103.960834,30.6715286
451,104.0572518,30.63571665
452,104.0966689,30.6364747
453,104.1506899,30.63573235
454,104.0112729,30.62008866
455,104.0695764,30.61879884
456,103.966997,30.71641552
457,104.0216448,30.70036077
458,104.0726375,30.72578859
459,103.9987553,30.6604005
460,104.0386555,30.65417493
461,104.1124124,30.65966078
462,104.1604886,30.67205697
463,104.0669796,30.60781326
464,104.1059759,30.62083666
465,103.9754957,30.69767357
466,104.0596416,30.72731696
467,104.1064432,30.68993585
468,103.9938527,30.63635869
469,104.0543756,30.64982872
470,104.0934433,30.65227021
471,104.1412091,30.63877966
472,104.0410529,30.60553353
473,104.0747506,30.61768468
474,103.9769843,30.6953588
475,104.0577632,30.67840135
476,104.1023844,30.68413271
477,103.9889117,30.6511002
478,104.0634855,30.67324036
479,104.1062302,30.62332025
480,104.1443436,30.65238121
481,104.0551712,30.61414035
482,104.0720858,30.59244763
483,103.9889788,30.6857075
484,104.0006211,30.7042268
485,104.1187875,30.6815065
486,103.9776502,30.66449919
487,104.0303879,30.65018741
488,104.0683242,30.66585244
489,104.1515982,30.64137098
490,104.0602366,30.6141953
491,104.0854722,30.60092942
492,103.9810702,30.71328192
493,104.0047257,30.70354332
494,104.0707783,30.68827718
495,103.9889356,30.64334541
496,104.0034916,30.6354158
497,104.0817032,30.64925009
498,104.1480248,30.65670291
499,104.0658265,30.58140576
500,104.0847688,30.59869091
501,103.973186,30.68984169
502,104.0455286,30.69339601
503,104.0880489,30.6904511
504,103.9459799,30.67151457
505,104.0456035,30.63050946
506,104.0811725,30.6436929
507,104.1377241,30.63284921
508,104.0301944,30.58666704
509,104.116215,30.60810306
510,103.9731196,30.73083762
511,104.0601849,30.68391526
512,104.0927861,30.7069879
513,103.9779032,30.66846905
514,104.0617403,30.65887109
515,104.0969164,30.62883906
516,104.1446052,30.63798103
517,104.0573648,30.57797339
518,104.0901351,30.58874098
519,103.9693913,30.69601607
520,104.0645697,30.71476468
521,104.0712971,30.71726067
522,103.9942331,30.65221712
523,104.0555066,30.6273915
524,104.0989873,30.63221536
525,104.1458357,30.65918716
526,104.0438563,30.58467107
527,104.1084768,30.57090281
528,103.9863879,30.71780493
529,104.0350245,30.69048312
530,104.090725,30.70306401
531,103.9616424,30.62666907
532,104.023712,30.64367064
533,104.1203144,30.65880798
534,104.1523394,30.63505025
535,104.0479366,30.59092737
536,104.1029171,30.60286602
537,103.9787618,30.70955492
538,104.0372435,30.68504933
539,104.1010393,30.68638247
540,103.9609762,30.67452502
541,104.0581439,30.66070539
542,104.1312323,30.66411971
543,104.147912,30.63352447
544,104.0313763,30.59554599
545,104.0819113,30.58936486
546,103.9536909,30.69205188
547,104.0489797,30.67856027
548,104.1133241,30.70159823
549,103.9885823,30.67709803
550,104.043951,30.62767156
551,104.074146,30.62766337
