Node_Start,Node_End,Length
124,375,260.3460928
125,398,352.9318802
125,851,315.5116221
125,1361,296.8924869
125,757,421.0464061
126,1298,1710.720489
126,314,1561.121132
127,1027,237.0402654
127,251,183.0300287
127,585,151.6410718
128,743,424.3351096
128,1259,224.5953135
128,442,152.5390573
129,1628,192.0974179
129,1811,254.1594452
1759,129,172.3249935
129,1280,328.3305018
130,561,321.2386193
130,588,934.5742395
130,534,604.9681706
131,332,416.8350472
131,702,512.3599603
131,657,332.3477681
132,1154,397.789706
132,517,509.2293938
132,1086,354.8405378
133,770,807.9075937
133,572,542.0671848
133,617,335.5366158
133,968,424.2016114
134,244,2267.648197
134,588,1197.465221
135,258,2345.110412
135,284,2095.434059
135,191,2179.590363
136,191,6002.490796
136,323,2766.271694
137,233,450.5765588
137,465,1051.848713
137,246,202.4215131
138,724,82.58190296
1599,138,197.3779818
138,1611,316.3795714
139,733,148.7778925
139,1068,185.3524974
140,275,707.9021962
140,301,675.9550383
140,288,979.1256531
141,971,245.578267
141,603,386.9552079
141,789,310.3407247
142,1254,229.3955227
142,1104,247.334841
142,1748,254.2968848
143,1783,461.8731119
143,1310,169.2628635
143,1682,324.7243547
144,348,192.2927303
144,318,171.7090782
144,660,203.1393862
145,1250,517.6338569
145,345,811.0468057
146,294,169.605448
598,146,250.6635728
146,383,286.0144809
147,883,287.5102115
147,1031,1429.612616
147,926,304.7306833
147,653,207.7138149
148,190,3785.284771
148,669,5555.625992
148,642,3630.189347
149,438,1686.876154
149,510,1212.751048
150,1677,648.108398
151,428,758.9915608
151,259,456.4763158
151,193,498.4011262
152,885,217.7945999
152,871,335.3455183
152,864,590.2740786
153,1817,282.5648445
153,1012,250.1177755
154,249,1488.209222
155,971,124.9885857
155,845,247.6028455
155,1048,264.9908061
156,1742,461.0406423
156,1299,316.353673
156,1740,440.7880496
156,1708,209.9648436
157,1550,192.5446616
157,1751,359.6266167
157,1195,194.8399982
157,1231,192.3210884
158,214,187.5999976
158,579,293.6547713
159,201,2332.882465
159,280,607.8317277
160,1124,383.5351888
160,1154,355.3244599
160,1086,404.8263078
160,634,421.055211
161,778,119.0059977
161,1173,465.079489
161,1271,199.1673978
162,283,237.384053
162,427,222.4363981
162,244,607.0437569
163,177,1273.221246
164,245,2158.517894
165,763,880.2680957
165,573,733.8491381
165,353,2239.113637
166,312,217.7093658
166,234,202.805409
166,1162,362.6073537
167,665,461.8181134
167,664,340.0459077
167,1026,246.5623188
168,377,1357.614927
169,224,218.5365629
